# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.full.replace.project.model.ms,1776800376005000000,1776800383579000000,0
workspaceModel.init.bridges.ms,1776800376005000000,1776800383579000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1776800376005000000,1776800383579000000,0
workspaceModel.updates.precise.ms,1776800376005000000,1776800383579000000,0
workspaceModel.update.unloaded.entities.ms,1776800376005000000,1776800383579000000,0
workspaceModel.cachedValue.clear.count,1776800376005000000,1776800383579000000,0
workspaceModel.on.changed.ms,1776800376005000000,1776800383579000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1776800376005000000,1776800383579000000,0
workspaceModel.pre.handlers.ms,1776800376005000000,1776800383579000000,0
workspaceModel.replace.project.model.ms,1776800376005000000,1776800383579000000,0
workspaceModel.loading.from.cache.ms,1776800376005000000,1776800383579000000,0
workspaceModel.cachedValue.calculated.count,1776800376005000000,1776800383579000000,1
workspaceModel.cachedValue.from.cache.count,1776800376005000000,1776800383579000000,6
workspaceModel.cachedValueWithParameters.calculated.count,1776800376005000000,1776800383579000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1776800376005000000,1776800383579000000,3
workspaceModel.updates.ms,1776800376005000000,1776800383579000000,0
workspaceModel.updates.count,1776800376005000000,1776800383579000000,0
workspaceModel.to.snapshot.ms,1776800376005000000,1776800383579000000,0
VFS.fileChildByName,1776800376005000000,1776800383579000000,10
VFS.fileByIdCache.hits,1776800376005000000,1776800383579000000,0
VFS.invertedFileNameIndex.requests,1776800376005000000,1776800383579000000,0
VFS.fileByIdCache.misses,1776800376005000000,1776800383579000000,0
DiskQueryRelay.tasksExecuted,1776800376005000000,1776800383579000000,11
DiskQueryRelay.tasksRequested,1776800376005000000,1776800383579000000,11
writeAction.median.wait.ms,1776800376005000000,1776800383579000000,0
writeAction.count,1776800376005000000,1776800383579000000,2
DiskQueryRelay.taskExecutionTotalTimeUs,1776800376005000000,1776800383579000000,373
writeAction.wait.ms,1776800376005000000,1776800383579000000,0
writeAction.max.wait.ms,1776800376005000000,1776800383579000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1776800376005000000,1776800383579000000,410
